gene,archetype,coverage_expr,spatial_score,c_cut_used,s_cut_used
LINC01409,IV: Basal,0.0227865190494588,0.1132766632742605,0.0597574352620383,0.2120822446921291
LINC01128,IV: Basal,0.0334270373972475,0.0812127998683158,0.0597574352620383,0.2120822446921291
LINC00115,IV: Basal,0.0089129884490867,0.101489741639591,0.0597574352620383,0.2120822446921291
FAM41C,IV: Basal,0.0083889562433108,0.0826106679130672,0.0597574352620383,0.2120822446921291
LINC02593,IV: Basal,0.0122481425722875,0.1817110525414806,0.0597574352620383,0.2120822446921291
SAMD11,IV: Basal,0.0410388272336872,0.1882222546336912,0.0597574352620383,0.2120822446921291
NOC2L,I: Ubiquitous,0.093548630632791,0.0825972398761142,0.0597574352620383,0.2120822446921291
KLHL17,IV: Basal,0.017417409415704,0.088104123958794,0.0597574352620383,0.2120822446921291
PLEKHN1,IV: Basal,0.005284731566723,0.2004203067398316,0.0597574352620383,0.2120822446921291
HES4,I: Ubiquitous,0.1324380376326178,0.1653748334724294,0.0597574352620383,0.2120822446921291
ISG15,I: Ubiquitous,0.1188487278896157,0.1092464085259056,0.0597574352620383,0.2120822446921291
AGRN,I: Ubiquitous,0.2147688263010876,0.172760487760793,0.0597574352620383,0.2120822446921291
C1orf159,IV: Basal,0.0296122605772347,0.1037521655845772,0.0597574352620383,0.2120822446921291
ENSG00000272141,III: Patchy,0.057501432206664,0.2353952808583591,0.0597574352620383,0.2120822446921291
TNFRSF18,IV: Basal,0.0091616816992854,0.1804630397200519,0.0597574352620383,0.2120822446921291
TNFRSF4,IV: Basal,0.0196512077165962,0.1635211661396068,0.0597574352620383,0.2120822446921291
SDF4,I: Ubiquitous,0.2150885747656288,0.0535429549069242,0.0597574352620383,0.2120822446921291
B3GALT6,IV: Basal,0.0546148141240002,0.0735054182063734,0.0597574352620383,0.2120822446921291
C1QTNF12,IV: Basal,0.0234615435857125,0.1389832135889263,0.0597574352620383,0.2120822446921291
UBE2J2,I: Ubiquitous,0.1292405529872056,0.037996723067119,0.0597574352620383,0.2120822446921291
SCNN1D,IV: Basal,0.0105961088388245,0.136385091362537,0.0597574352620383,0.2120822446921291
ACAP3,I: Ubiquitous,0.0598329314272772,0.1010389861853039,0.0597574352620383,0.2120822446921291
PUSL1,IV: Basal,0.037885752097239,0.06254904062196,0.0597574352620383,0.2120822446921291
INTS11,I: Ubiquitous,0.1272998574454762,0.0525631811952275,0.0597574352620383,0.2120822446921291
CPTP,I: Ubiquitous,0.0787158546387952,0.087785645802307,0.0597574352620383,0.2120822446921291
DVL1,I: Ubiquitous,0.0700870870470785,0.1055605201370812,0.0597574352620383,0.2120822446921291
MXRA8,IV: Basal,0.0274806041469599,0.1883752144305203,0.0597574352620383,0.2120822446921291
AURKAIP1,I: Ubiquitous,0.4940646691269534,0.0909089873457827,0.0597574352620383,0.2120822446921291
CCNL2,I: Ubiquitous,0.1769363656146054,0.0865149297425898,0.0597574352620383,0.2120822446921291
MRPL20-AS1,IV: Basal,0.035216740608499,0.0531143525810755,0.0597574352620383,0.2120822446921291
MRPL20,I: Ubiquitous,0.4133859141919467,0.0986563237722577,0.0597574352620383,0.2120822446921291
ANKRD65,IV: Basal,0.0179370006705835,0.1417802207903077,0.0597574352620383,0.2120822446921291
VWA1,I: Ubiquitous,0.1223082286379159,0.1450255627730202,0.0597574352620383,0.2120822446921291
ATAD3C,IV: Basal,0.0388139108345879,0.1044459365516757,0.0597574352620383,0.2120822446921291
ATAD3B,IV: Basal,0.0416516784573912,0.0985897330729328,0.0597574352620383,0.2120822446921291
ATAD3A,IV: Basal,0.0428374123467316,0.0825717642012787,0.0597574352620383,0.2120822446921291
TMEM240,IV: Basal,0.0075007660640296,0.1530143051213447,0.0597574352620383,0.2120822446921291
SSU72,I: Ubiquitous,0.3210496631538745,0.0799799261130351,0.0597574352620383,0.2120822446921291
FNDC10,IV: Basal,0.0253000972568246,0.1091460254396313,0.0597574352620383,0.2120822446921291
ENSG00000272106,IV: Basal,0.0303849860332094,0.1131925929019093,0.0597574352620383,0.2120822446921291
MIB2,I: Ubiquitous,0.1054015285752985,0.0651262312949708,0.0597574352620383,0.2120822446921291
MMP23B,IV: Basal,0.0111778734062537,0.118018810565912,0.0597574352620383,0.2120822446921291
CDK11B,IV: Basal,0.0464168187692348,0.0624877528557024,0.0597574352620383,0.2120822446921291
SLC35E2B,IV: Basal,0.042677538114461,0.0883369411963623,0.0597574352620383,0.2120822446921291
CDK11A,IV: Basal,0.050609076415442,0.0584084451026505,0.0597574352620383,0.2120822446921291
SLC35E2A,IV: Basal,0.0529894260959156,0.1087712537427341,0.0597574352620383,0.2120822446921291
NADK,I: Ubiquitous,0.075256353890495,0.0802444372516166,0.0597574352620383,0.2120822446921291
GNB1,I: Ubiquitous,0.300203839646145,0.0665048231860076,0.0597574352620383,0.2120822446921291
TMEM52,IV: Basal,0.0063772054872389,0.1261952923301269,0.0597574352620383,0.2120822446921291
PRKCZ,IV: Basal,0.0594732144046683,0.1243917144723386,0.0597574352620383,0.2120822446921291
FAAP20,I: Ubiquitous,0.2702851534570582,0.0511140132952407,0.0597574352620383,0.2120822446921291
SKI,I: Ubiquitous,0.09010245273718,0.0891926123841883,0.0597574352620383,0.2120822446921291
MORN1,IV: Basal,0.0375748855344906,0.142197224573707,0.0597574352620383,0.2120822446921291
RER1,I: Ubiquitous,0.3390221914316293,0.076801963757426,0.0597574352620383,0.2120822446921291
PEX10,I: Ubiquitous,0.0704201583643089,0.0908242073496844,0.0597574352620383,0.2120822446921291
PLCH2,IV: Basal,0.0104007069993827,0.1331406107382982,0.0597574352620383,0.2120822446921291
PANK4,IV: Basal,0.029385772081518,0.0712599063382891,0.0597574352620383,0.2120822446921291
ENSG00000272449,IV: Basal,0.0427885618868712,0.1138287737759161,0.0597574352620383,0.2120822446921291
TNFRSF14-AS1,IV: Basal,0.0247494193456702,0.0683627514894209,0.0597574352620383,0.2120822446921291
TNFRSF14,I: Ubiquitous,0.1477637591761147,0.0721830120847837,0.0597574352620383,0.2120822446921291
PRXL2B,IV: Basal,0.0530249537030869,0.0953936592833941,0.0597574352620383,0.2120822446921291
MMEL1,IV: Basal,0.0099299662043636,0.1205851378315867,0.0597574352620383,0.2120822446921291
PRDM16-DT,I: Ubiquitous,0.2020987933936414,0.1636613226195351,0.0597574352620383,0.2120822446921291
PRDM16,I: Ubiquitous,0.0873801498376832,0.1584137637115058,0.0597574352620383,0.2120822446921291
ARHGEF16,IV: Basal,0.0548324207179241,0.1837139911724359,0.0597574352620383,0.2120822446921291
MEGF6,IV: Basal,0.0196734124710783,0.1236436790343572,0.0597574352620383,0.2120822446921291
TPRG1L,I: Ubiquitous,0.0941836866109771,0.0765059123081864,0.0597574352620383,0.2120822446921291
WRAP73,IV: Basal,0.0477446630872602,0.0527594039058769,0.0597574352620383,0.2120822446921291
SMIM1,I: Ubiquitous,0.088548119923438,0.1258750193789735,0.0597574352620383,0.2120822446921291
LRRC47,I: Ubiquitous,0.0742749037423893,0.0778871698323738,0.0597574352620383,0.2120822446921291
CEP104,I: Ubiquitous,0.0851419105858946,0.0884381210229894,0.0597574352620383,0.2120822446921291
DFFB,IV: Basal,0.0157032023696914,0.0705566997789632,0.0597574352620383,0.2120822446921291
C1orf174,I: Ubiquitous,0.0701048508506641,0.0461020600406137,0.0597574352620383,0.2120822446921291
AJAP1,IV: Basal,0.0354476700551122,0.1612974148879032,0.0597574352620383,0.2120822446921291
NPHP4,IV: Basal,0.0260150903511459,0.1209234543233434,0.0597574352620383,0.2120822446921291
KCNAB2,IV: Basal,0.0341198257370868,0.1217937611874599,0.0597574352620383,0.2120822446921291
RPL22,I: Ubiquitous,0.7714819897236396,0.1614819870102858,0.0597574352620383,0.2120822446921291
RNF207,IV: Basal,0.0333915097900762,0.1591196980585235,0.0597574352620383,0.2120822446921291
ICMT,I: Ubiquitous,0.112178419643214,0.1016583340021647,0.0597574352620383,0.2120822446921291
ACOT7,I: Ubiquitous,0.0761401031188798,0.1120687188317683,0.0597574352620383,0.2120822446921291
ESPN,IV: Basal,0.0439920595797972,0.1644348947073969,0.0597574352620383,0.2120822446921291
TNFRSF25,IV: Basal,0.0284842590495476,0.1100818935526881,0.0597574352620383,0.2120822446921291
PLEKHG5,IV: Basal,0.0106405183477886,0.1276135639129205,0.0597574352620383,0.2120822446921291
NOL9,I: Ubiquitous,0.0642783232745795,0.0776089342237304,0.0597574352620383,0.2120822446921291
ZBTB48,IV: Basal,0.0507645096968162,0.0807975141190314,0.0597574352620383,0.2120822446921291
KLHL21,I: Ubiquitous,0.065366356244199,0.1146554566716317,0.0597574352620383,0.2120822446921291
PHF13,IV: Basal,0.0289816455499451,0.1015206365789693,0.0597574352620383,0.2120822446921291
THAP3,I: Ubiquitous,0.0659525617625245,0.0718854011726365,0.0597574352620383,0.2120822446921291
DNAJC11,I: Ubiquitous,0.1345430483575143,0.1167961384843083,0.0597574352620383,0.2120822446921291
CAMTA1-DT,IV: Basal,0.0067813320188118,0.1291619410254997,0.0597574352620383,0.2120822446921291
CAMTA1,I: Ubiquitous,0.4295509754548643,0.0711520268425155,0.0597574352620383,0.2120822446921291
VAMP3,I: Ubiquitous,0.1538345390515017,0.0547277303055313,0.0597574352620383,0.2120822446921291
PER3,I: Ubiquitous,0.1036429120203217,0.1476034230468112,0.0597574352620383,0.2120822446921291
PARK7,I: Ubiquitous,0.5116774803820994,0.1139221938047277,0.0597574352620383,0.2120822446921291
ERRFI1,I: Ubiquitous,0.0910128476709433,0.1460722739639576,0.0597574352620383,0.2120822446921291
SLC45A1,IV: Basal,0.0065903711302664,0.1244256592550368,0.0597574352620383,0.2120822446921291
RERE,I: Ubiquitous,0.3481039360147794,0.1412573905703256,0.0597574352620383,0.2120822446921291
ENO1,I: Ubiquitous,0.6072423027218588,0.1127424941471101,0.0597574352620383,0.2120822446921291
ENO1-AS1,IV: Basal,0.0083090191271755,0.0921960976441245,0.0597574352620383,0.2120822446921291
SLC2A5,IV: Basal,0.0134827269214884,0.1356394271475552,0.0597574352620383,0.2120822446921291
GPR157,IV: Basal,0.0228442514111121,0.1268852711678794,0.0597574352620383,0.2120822446921291
MIR34AHG,IV: Basal,0.0096368634452008,0.160272647486114,0.0597574352620383,0.2120822446921291
H6PD,I: Ubiquitous,0.0711928838202836,0.1060930255567522,0.0597574352620383,0.2120822446921291
SPSB1,IV: Basal,0.0225644715046385,0.1136359043241024,0.0597574352620383,0.2120822446921291
SLC25A33,I: Ubiquitous,0.0920564711315986,0.089737187055043,0.0597574352620383,0.2120822446921291
TMEM201,IV: Basal,0.0343152275765286,0.1209093979329293,0.0597574352620383,0.2120822446921291
PIK3CD,IV: Basal,0.034888110242165,0.0897669925017516,0.0597574352620383,0.2120822446921291
PIK3CD-AS2,IV: Basal,0.0263792483246512,0.1191851880081328,0.0597574352620383,0.2120822446921291
CLSTN1,I: Ubiquitous,0.2448163000661701,0.094871221313294,0.0597574352620383,0.2120822446921291
CTNNBIP1,I: Ubiquitous,0.0758514413106134,0.0628955249438717,0.0597574352620383,0.2120822446921291
LZIC,I: Ubiquitous,0.134485315995861,0.0337312697881099,0.0597574352620383,0.2120822446921291
NMNAT1,IV: Basal,0.0430772236951376,0.0993690952905843,0.0597574352620383,0.2120822446921291
RBP7,IV: Basal,0.0589713869533744,0.1535493713776508,0.0597574352620383,0.2120822446921291
UBE4B,I: Ubiquitous,0.1027369580374549,0.1149911652105769,0.0597574352620383,0.2120822446921291
KIF1B,I: Ubiquitous,0.1575116463937258,0.1421497929551553,0.0597574352620383,0.2120822446921291
PGD,I: Ubiquitous,0.1370877132211549,0.0847132994891232,0.0597574352620383,0.2120822446921291
CENPS,IV: Basal,0.0588958907881355,0.1092751416630752,0.0597574352620383,0.2120822446921291
CORT,IV: Basal,0.0086598542479915,0.1185238262875697,0.0597574352620383,0.2120822446921291
DFFA,I: Ubiquitous,0.0973589665019073,0.0795622485224381,0.0597574352620383,0.2120822446921291
PEX14,I: Ubiquitous,0.0754339919263512,0.1179383005642189,0.0597574352620383,0.2120822446921291
CASZ1,I: Ubiquitous,0.0831745693387868,0.1592821154046767,0.0597574352620383,0.2120822446921291
TARDBP,I: Ubiquitous,0.1676192506339457,0.0446260455941399,0.0597574352620383,0.2120822446921291
SRM,I: Ubiquitous,0.1349027653801232,0.0435169007816542,0.0597574352620383,0.2120822446921291
EXOSC10,I: Ubiquitous,0.0714326951686895,0.0742214853027854,0.0597574352620383,0.2120822446921291
MTOR,I: Ubiquitous,0.0706777335163005,0.1101973924575382,0.0597574352620383,0.2120822446921291
UBIAD1,IV: Basal,0.0400662589873743,0.0807276965256948,0.0597574352620383,0.2120822446921291
FBXO2,I: Ubiquitous,0.0897338538127783,0.1283058699915471,0.0597574352620383,0.2120822446921291
FBXO44,I: Ubiquitous,0.0807720149038312,0.0976954961419225,0.0597574352620383,0.2120822446921291
FBXO6,IV: Basal,0.0280579277634927,0.0805983617567739,0.0597574352620383,0.2120822446921291
MAD2L2,I: Ubiquitous,0.0767751590970658,0.0678605243388588,0.0597574352620383,0.2120822446921291
AGTRAP,I: Ubiquitous,0.1719402958561487,0.0936946146572418,0.0597574352620383,0.2120822446921291
C1orf167,IV: Basal,0.0084111609977928,0.1541187354792875,0.0597574352620383,0.2120822446921291
MTHFR,IV: Basal,0.0541307504762919,0.0932136623711355,0.0597574352620383,0.2120822446921291
CLCN6,IV: Basal,0.0454442505229219,0.1260194307170619,0.0597574352620383,0.2120822446921291
ENSG00000285646,IV: Basal,0.0152324615746723,0.1017921806948796,0.0597574352620383,0.2120822446921291
KIAA2013,I: Ubiquitous,0.1210159119270618,0.0762581033479355,0.0597574352620383,0.2120822446921291
PLOD1,IV: Basal,0.0480466477482158,0.1126326725692553,0.0597574352620383,0.2120822446921291
MFN2,I: Ubiquitous,0.1039138100250025,0.1069756643826404,0.0597574352620383,0.2120822446921291
MIIP,IV: Basal,0.0509954391434293,0.0555362483554125,0.0597574352620383,0.2120822446921291
TNFRSF1B,IV: Basal,0.0484907428378564,0.2024045166977154,0.0597574352620383,0.2120822446921291
VPS13D,I: Ubiquitous,0.1825275227931804,0.0980487156024456,0.0597574352620383,0.2120822446921291
DHRS3,I: Ubiquitous,0.159954169386749,0.0992654588077712,0.0597574352620383,0.2120822446921291
PRDM2,I: Ubiquitous,0.1299688689342162,0.0789105202955764,0.0597574352620383,0.2120822446921291
KAZN,I: Ubiquitous,0.228602388343392,0.2097930258406077,0.0597574352620383,0.2120822446921291
ENSG00000231606,III: Patchy,0.0072032223539704,0.2194744359286625,0.0597574352620383,0.2120822446921291
TMEM51-AS1,IV: Basal,0.0217118089325286,0.1756539462235597,0.0597574352620383,0.2120822446921291
TMEM51,I: Ubiquitous,0.1305506335016453,0.1578678936460424,0.0597574352620383,0.2120822446921291
FHAD1,IV: Basal,0.0092860283243848,0.128022541074204,0.0597574352620383,0.2120822446921291
EFHD2,I: Ubiquitous,0.1240846089964783,0.1425018758572339,0.0597574352620383,0.2120822446921291
CASP9,IV: Basal,0.0436367835080847,0.0837754906566932,0.0597574352620383,0.2120822446921291
DNAJC16,I: Ubiquitous,0.0978607939532012,0.1172103219140889,0.0597574352620383,0.2120822446921291
AGMAT,I: Ubiquitous,0.0958934527060934,0.1377646618271581,0.0597574352620383,0.2120822446921291
DDI2,I: Ubiquitous,0.0676934145139157,0.0976179457726647,0.0597574352620383,0.2120822446921291
PLEKHM2,I: Ubiquitous,0.0831479236334083,0.0813705199134911,0.0597574352620383,0.2120822446921291
SLC25A34,IV: Basal,0.0087220275605412,0.1165801909997072,0.0597574352620383,0.2120822446921291
TMEM82,IV: Basal,0.0175550788934926,0.1758176051437363,0.0597574352620383,0.2120822446921291
FBLIM1,IV: Basal,0.0343152275765286,0.2080993881921423,0.0597574352620383,0.2120822446921291
SPEN-AS1,IV: Basal,0.0518036922065752,0.0940517405471623,0.0597574352620383,0.2120822446921291
SPEN,I: Ubiquitous,0.1675304316160176,0.0820350908137138,0.0597574352620383,0.2120822446921291
ZBTB17,IV: Basal,0.0394045573038098,0.0708970527596679,0.0597574352620383,0.2120822446921291
SRARP,IV: Basal,0.0263748073737548,0.1711484171043287,0.0597574352620383,0.2120822446921291
HSPB7,IV: Basal,0.0166269201561438,0.1849336177526001,0.0597574352620383,0.2120822446921291
