gene,n_cells_total,expr_threshold_mode,expr_threshold_value,coverage_expr,spatial_score,spatial_sign,r_mean_bg,coverage_bg,coverage_fg,warnings,p_value
ENSG00000167699,38384,detect_continuous,1e-06,0.20779491454772822,0.03298702261830842,1,0.006790166772709886,1.0,1.0,,
ENSG00000171861,38384,detect_continuous,1e-06,0.04798874531054606,0.08642636948679791,1,0.07374669239141153,1.0,1.0,,
ENSG00000167693,38384,detect_continuous,1e-06,0.0257919966652772,0.13186725527569654,-1,-0.10847790733297213,1.0,1.0,,
ENSG00000177370,38384,detect_continuous,1e-06,0.07959045435598167,0.08007523513511203,1,0.061696032400034996,1.0,1.0,,
ENSG00000159842,38384,detect_continuous,1e-06,0.0257919966652772,0.09899207106171598,-1,-0.060840648302169606,1.0,1.0,,
ENSG00000108953,38384,detect_continuous,1e-06,0.620388703626511,0.10931031528743101,-1,-0.030168787757232442,1.0,1.0,,
ENSG00000167193,38384,detect_continuous,1e-06,0.15696644435181326,0.04319140543602199,1,0.026256843329497792,1.0,1.0,,
ENSG00000197879,38384,detect_continuous,1e-06,0.18033555648186744,0.03505457285356362,-1,-0.0048556269574213705,1.0,1.0,,
ENSG00000132376,38384,detect_continuous,1e-06,0.05580450187578158,0.07882531230512707,1,0.06732499159368732,1.0,1.0,,
ENSG00000236618,38384,detect_continuous,1e-06,0.09910379324718632,0.11825363598394655,1,0.08626838600830282,1.0,1.0,,
ENSG00000174238,38384,detect_continuous,1e-06,0.1495154230929554,0.03968697873947577,-1,-0.010231739165520259,1.0,1.0,,
ENSG00000167703,38384,detect_continuous,1e-06,0.28433722384326804,0.05920288380344617,-1,-0.00382794895224137,1.0,1.0,,
ENSG00000074660,38384,detect_continuous,1e-06,0.029413297207169654,0.10541934260995213,1,0.03764308517589656,1.0,1.0,,
ENSG00000167705,38384,detect_continuous,1e-06,0.0674499791579825,0.09302096079465835,1,0.07307641039382573,1.0,1.0,,
ENSG00000174231,38384,detect_continuous,1e-06,0.24484160066694455,0.03922136044390127,-1,-0.0016428263538724869,1.0,1.0,,
ENSG00000185561,38384,detect_continuous,1e-06,0.009144435181325553,0.11069163548897301,1,0.09314459218910039,1.0,1.0,low_coverage_expr,
ENSG00000186594,38384,detect_continuous,1e-06,0.10077115464776991,0.11203934058652076,1,0.09753737917367195,1.0,1.0,,
ENSG00000167716,38384,detect_continuous,1e-06,0.02738120050020842,0.07287361507834667,1,0.04979002477077074,1.0,1.0,,
ENSG00000167711,38384,detect_continuous,1e-06,0.015553355564818674,0.09178300845229366,1,0.060669579131074264,1.0,1.0,,
ENSG00000186532,38384,detect_continuous,1e-06,0.025323051271363067,0.06309060639965366,1,0.0026651820641529224,1.0,1.0,,
ENSG00000132383,38384,detect_continuous,1e-06,0.07443205502292621,0.08635568001753993,1,0.07217829585157856,1.0,1.0,,
ENSG00000185924,38384,detect_continuous,1e-06,0.011671529804085035,0.09541651019132796,1,0.051223793337397606,1.0,1.0,,
ENSG00000108963,38384,detect_continuous,1e-06,0.007581283868278449,0.07122566331059707,-1,-0.03101015534493626,1.0,1.0,low_coverage_expr,
ENSG00000287553,38384,detect_continuous,1e-06,0.011306794497707377,0.07224465739279744,1,0.017716230882370364,1.0,1.0,,
ENSG00000070366,38384,detect_continuous,1e-06,0.16480825343893288,0.0903613420439481,-1,-0.03131718005642822,1.0,1.0,,
ENSG00000167720,38384,detect_continuous,1e-06,0.04819716548561901,0.0516629437677845,1,0.030400123611938223,1.0,1.0,,
