gene,gene_name,archetype,coverage_expr,spatial_score,c_cut_used,s_cut_used
ENSG00000237491,LINC01409,IV: Basal,0.0365777407253022,0.0808097140428078,0.0711233847436431,0.17284353444795048
ENSG00000228794,LINC01128,IV: Basal,0.0312109212171738,0.0608627863490706,0.0711233847436431,0.17284353444795048
ENSG00000225880,LINC00115,IV: Basal,0.0078418090871196,0.0939409180037911,0.0711233847436431,0.17284353444795048
ENSG00000230368,FAM41C,IV: Basal,0.0072947061275531,0.0979160895575213,0.0711233847436431,0.17284353444795048
ENSG00000187634,SAMD11,IV: Basal,0.0190443934972905,0.0591285288365644,0.0711233847436431,0.17284353444795048
ENSG00000188976,NOC2L,I: Ubiquitous,0.1029595664860358,0.0696856939541262,0.0711233847436431,0.17284353444795048
ENSG00000187961,KLHL17,IV: Basal,0.0210764902042517,0.0730901750625631,0.0711233847436431,0.17284353444795048
ENSG00000188290,HES4,I: Ubiquitous,0.1416996665277198,0.0865138564724681,0.0711233847436431,0.17284353444795048
ENSG00000187608,ISG15,IV: Basal,0.0305596081700708,0.1535446900137089,0.0711233847436431,0.17284353444795048
ENSG00000188157,AGRN,I: Ubiquitous,0.2934035014589412,0.0690947369739219,0.0711233847436431,0.17284353444795048
ENSG00000131591,C1orf159,IV: Basal,0.039182992913714,0.0673648787234491,0.0711233847436431,0.17284353444795048
ENSG00000272141,ENSG00000272141,I: Ubiquitous,0.1211442267611504,0.1043464528017608,0.0711233847436431,0.17284353444795048
ENSG00000078808,SDF4,I: Ubiquitous,0.2728220091704877,0.0530667998244481,0.0711233847436431,0.17284353444795048
ENSG00000176022,B3GALT6,IV: Basal,0.0492392663609837,0.0866866323023222,0.0711233847436431,0.17284353444795048
ENSG00000160087,UBE2J2,I: Ubiquitous,0.1220300125052105,0.0390796073882355,0.0711233847436431,0.17284353444795048
ENSG00000162572,SCNN1D,IV: Basal,0.0146415172988745,0.067570939262971,0.0711233847436431,0.17284353444795048
ENSG00000131584,ACAP3,I: Ubiquitous,0.0760994164235098,0.0730832727223985,0.0711233847436431,0.17284353444795048
ENSG00000169972,PUSL1,IV: Basal,0.0351969570654439,0.0820716995218199,0.0711233847436431,0.17284353444795048
ENSG00000127054,INTS11,I: Ubiquitous,0.1477438516048353,0.0471309982733824,0.0711233847436431,0.17284353444795048
ENSG00000224051,CPTP,I: Ubiquitous,0.1375312630262609,0.0751373114287724,0.0711233847436431,0.17284353444795048
ENSG00000107404,DVL1,I: Ubiquitous,0.1045748228428511,0.068212036261207,0.0711233847436431,0.17284353444795048
ENSG00000175756,AURKAIP1,I: Ubiquitous,0.5462953313880784,0.1168945407677375,0.0711233847436431,0.17284353444795048
ENSG00000221978,CCNL2,I: Ubiquitous,0.1927626094205919,0.0956351270475998,0.0711233847436431,0.17284353444795048
ENSG00000224870,MRPL20-AS1,IV: Basal,0.0364474781158816,0.0782058044453807,0.0711233847436431,0.17284353444795048
ENSG00000242485,MRPL20,I: Ubiquitous,0.435962901208837,0.102368071539697,0.0711233847436431,0.17284353444795048
ENSG00000272455,MRPL20-DT,IV: Basal,0.005288661942476,0.1098674397247091,0.0711233847436431,0.17284353444795048
ENSG00000235098,ANKRD65,IV: Basal,0.0247238432680283,0.1076081177771815,0.0711233847436431,0.17284353444795048
ENSG00000179403,VWA1,I: Ubiquitous,0.1527198832847019,0.0708542103482962,0.0711233847436431,0.17284353444795048
ENSG00000215915,ATAD3C,IV: Basal,0.056794497707378,0.094997113506399,0.0711233847436431,0.17284353444795048
ENSG00000160072,ATAD3B,IV: Basal,0.0553355564818674,0.0767151001416878,0.0711233847436431,0.17284353444795048
ENSG00000197785,ATAD3A,IV: Basal,0.0562994997915798,0.0476672895690712,0.0711233847436431,0.17284353444795048
ENSG00000205090,TMEM240,IV: Basal,0.0114891621508962,0.1186018354952276,0.0711233847436431,0.17284353444795048
ENSG00000160075,SSU72,I: Ubiquitous,0.314037098791163,0.064937419922307,0.0711233847436431,0.17284353444795048
ENSG00000228594,FNDC10,IV: Basal,0.0568205502292621,0.0859670318012014,0.0711233847436431,0.17284353444795048
ENSG00000272106,ENSG00000272106,IV: Basal,0.0473113797415589,0.1246734357721478,0.0711233847436431,0.17284353444795048
ENSG00000197530,MIB2,I: Ubiquitous,0.1246092121717382,0.0592832614997846,0.0711233847436431,0.17284353444795048
ENSG00000189409,MMP23B,IV: Basal,0.0051844518549395,0.1029878490496908,0.0711233847436431,0.17284353444795048
ENSG00000248333,CDK11B,IV: Basal,0.0433774489370571,0.0520321984146385,0.0711233847436431,0.17284353444795048
ENSG00000189339,SLC35E2B,IV: Basal,0.0572894956231763,0.0804091336469105,0.0711233847436431,0.17284353444795048
ENSG00000008128,CDK11A,IV: Basal,0.0520789912463526,0.0566330892747327,0.0711233847436431,0.17284353444795048
ENSG00000215790,SLC35E2A,I: Ubiquitous,0.0857649020425177,0.0784357635090285,0.0711233847436431,0.17284353444795048
ENSG00000008130,NADK,I: Ubiquitous,0.0783399333055439,0.0628265063601735,0.0711233847436431,0.17284353444795048
ENSG00000078369,GNB1,I: Ubiquitous,0.2819664443518132,0.0498635052275859,0.0711233847436431,0.17284353444795048
ENSG00000067606,PRKCZ,IV: Basal,0.0695341809087119,0.0542323530041492,0.0711233847436431,0.17284353444795048
