gene,gene_name,n_cells_total,expr_threshold_mode,expr_threshold_value,coverage_expr,spatial_score,spatial_sign,r_mean_bg,coverage_bg,coverage_fg,warnings,p_value,archetype,c_cut_used,s_cut_used,q_value
ENSG00000237491,LINC01409,38384,detect_continuous,1e-06,0.0365777407253022,0.0808097140428078,1,0.0441047478901411,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000228794,LINC01128,38384,detect_continuous,1e-06,0.0312109212171738,0.0608627863490706,1,0.0416057336629022,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000225880,LINC00115,38384,detect_continuous,1e-06,0.0078418090871196,0.0939409180037911,1,0.0489968545291079,1.0,1.0,low_coverage_expr,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000230368,FAM41C,38384,detect_continuous,1e-06,0.0072947061275531,0.0979160895575213,1,0.0664705811964225,1.0,1.0,low_coverage_expr,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000187634,SAMD11,38384,detect_continuous,1e-06,0.0190443934972905,0.0591285288365644,-1,-0.0001573606359501,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000188976,NOC2L,38384,detect_continuous,1e-06,0.1029595664860358,0.0696856939541262,1,0.0519723191219118,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000187961,KLHL17,38384,detect_continuous,1e-06,0.0210764902042517,0.0730901750625631,1,0.0050029896753672,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000188290,HES4,38384,detect_continuous,1e-06,0.1416996665277198,0.0865138564724681,-1,-0.037977630866724,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000187608,ISG15,38384,detect_continuous,1e-06,0.0305596081700708,0.1535446900137089,-1,-0.1335287861152625,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000188157,AGRN,38384,detect_continuous,1e-06,0.2934035014589412,0.0690947369739219,1,0.0224578680313195,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000131591,C1orf159,38384,detect_continuous,1e-06,0.039182992913714,0.0673648787234491,-1,-0.0035622351024546,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000272141,ENSG00000272141,38384,detect_continuous,1e-06,0.1211442267611504,0.1043464528017608,1,0.0260876764624768,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000078808,SDF4,38384,detect_continuous,1e-06,0.2728220091704877,0.0530667998244481,1,0.008426178756702,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000176022,B3GALT6,38384,detect_continuous,1e-06,0.0492392663609837,0.0866866323023222,1,0.0653070715438209,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000160087,UBE2J2,38384,detect_continuous,1e-06,0.1220300125052105,0.0390796073882355,1,0.0171981839690281,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000162572,SCNN1D,38384,detect_continuous,1e-06,0.0146415172988745,0.067570939262971,-1,-0.0189787283396364,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000131584,ACAP3,38384,detect_continuous,1e-06,0.0760994164235098,0.0730832727223985,1,0.038633532724297,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000169972,PUSL1,38384,detect_continuous,1e-06,0.0351969570654439,0.0820716995218199,1,0.0335227537881304,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000127054,INTS11,38384,detect_continuous,1e-06,0.1477438516048353,0.0471309982733824,1,0.0038601792080304,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000224051,CPTP,38384,detect_continuous,1e-06,0.1375312630262609,0.0751373114287724,1,0.021124840670833,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000107404,DVL1,38384,detect_continuous,1e-06,0.1045748228428511,0.068212036261207,1,0.0370830497127868,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000175756,AURKAIP1,38384,detect_continuous,1e-06,0.5462953313880784,0.1168945407677375,-1,-0.0178582064280891,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000221978,CCNL2,38384,detect_continuous,1e-06,0.1927626094205919,0.0956351270475998,-1,-0.0002912823075661,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000224870,MRPL20-AS1,38384,detect_continuous,1e-06,0.0364474781158816,0.0782058044453807,1,0.0551863092842755,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000242485,MRPL20,38384,detect_continuous,1e-06,0.435962901208837,0.102368071539697,1,0.0126216386894242,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000272455,MRPL20-DT,38384,detect_continuous,1e-06,0.005288661942476,0.1098674397247091,1,0.0478498260299617,1.0,0.9722222222222222,low_coverage_expr,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000235098,ANKRD65,38384,detect_continuous,1e-06,0.0247238432680283,0.1076081177771815,1,0.0937471403647946,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000179403,VWA1,38384,detect_continuous,1e-06,0.1527198832847019,0.0708542103482962,1,0.017549076341408,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000215915,ATAD3C,38384,detect_continuous,1e-06,0.056794497707378,0.094997113506399,1,0.0794563075815278,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000160072,ATAD3B,38384,detect_continuous,1e-06,0.0553355564818674,0.0767151001416878,1,0.0182002587367417,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000197785,ATAD3A,38384,detect_continuous,1e-06,0.0562994997915798,0.0476672895690712,1,0.0074901316512204,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000205090,TMEM240,38384,detect_continuous,1e-06,0.0114891621508962,0.1186018354952276,1,0.0971950370814107,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000160075,SSU72,38384,detect_continuous,1e-06,0.314037098791163,0.064937419922307,1,0.0020226121461105,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000228594,FNDC10,38384,detect_continuous,1e-06,0.0568205502292621,0.0859670318012014,1,0.0594681758177814,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000272106,ENSG00000272106,38384,detect_continuous,1e-06,0.0473113797415589,0.1246734357721478,1,0.1171676292556976,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000197530,MIB2,38384,detect_continuous,1e-06,0.1246092121717382,0.0592832614997846,1,0.0180246319172676,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000189409,MMP23B,38384,detect_continuous,1e-06,0.0051844518549395,0.1029878490496908,-1,-0.0415944284362321,1.0,1.0,low_coverage_expr,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000248333,CDK11B,38384,detect_continuous,1e-06,0.0433774489370571,0.0520321984146385,1,0.0266488318416795,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000189339,SLC35E2B,38384,detect_continuous,1e-06,0.0572894956231763,0.0804091336469105,1,0.0052384542697658,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000008128,CDK11A,38384,detect_continuous,1e-06,0.0520789912463526,0.0566330892747327,1,0.0170598825036587,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000215790,SLC35E2A,38384,detect_continuous,1e-06,0.0857649020425177,0.0784357635090285,1,0.0208507620027939,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000008130,NADK,38384,detect_continuous,1e-06,0.0783399333055439,0.0628265063601735,1,0.035376260396948,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000078369,GNB1,38384,detect_continuous,1e-06,0.2819664443518132,0.0498635052275859,-1,-0.0438080989246623,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000067606,PRKCZ,38384,detect_continuous,1e-06,0.0695341809087119,0.0542323530041492,1,0.0262765943441686,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000162585,FAAP20,38384,detect_continuous,1e-06,0.2605512713630679,0.0382466190755067,-1,-0.0011996898253167,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000157933,SKI,38384,detect_continuous,1e-06,0.0912098791162984,0.0617667512490735,1,0.0355564670123187,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000116151,MORN1,38384,detect_continuous,1e-06,0.0535900375156315,0.0708824990764304,1,0.056475384166226,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000272420,ENSG00000272420,38384,detect_continuous,1e-06,0.0062786577740725,0.1183045607288406,1,0.0870736711374893,1.0,1.0,low_coverage_expr,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000157916,RER1,38384,detect_continuous,1e-06,0.3808618174239266,0.0766485166900601,1,0.0410591131525185,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000157911,PEX10,38384,detect_continuous,1e-06,0.0814141308878699,0.0856109145349097,1,0.0707756082320995,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000157881,PANK4,38384,detect_continuous,1e-06,0.0441329720716965,0.0846779571211269,1,0.0676069611245833,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000272449,ENSG00000272449,38384,detect_continuous,1e-06,0.0541110879533138,0.1367924458302981,1,0.1214254283168566,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000157873,TNFRSF14,38384,detect_continuous,1e-06,0.0572634431012922,0.0681051375566344,1,0.0129707708920018,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000157870,PRXL2B,38384,detect_continuous,1e-06,0.0527042517715714,0.0686604492538021,1,0.0466803536778946,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000237058,MMEL1-AS1,38384,detect_continuous,1e-06,0.0064870779491454,0.1191252851482059,-1,-0.0769492119828392,1.0,0.6388888888888888,low_coverage_expr,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000215912,TTC34,38384,detect_continuous,1e-06,0.0067215506461025,0.1075152359692201,1,0.0178454499338383,1.0,0.9166666666666666,low_coverage_expr,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000177133,PRDM16-DT,38384,detect_continuous,1e-06,0.4805387661525636,0.1026654027866477,-1,-0.0533928783627379,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000142611,PRDM16,38384,detect_continuous,1e-06,0.2010473113797415,0.0820967658854025,-1,-0.0197780545015002,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000130762,ARHGEF16,38384,detect_continuous,1e-06,0.083863067944977,0.0584054408212332,1,0.0151242408062765,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000162591,MEGF6,38384,detect_continuous,1e-06,0.0103167986661108,0.1029322694202497,-1,-0.0269701913990121,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000158109,TPRG1L,38384,detect_continuous,1e-06,0.081205710712797,0.0874090409568679,1,0.0714425631558316,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
