shape,N,coverage_regime,organization_regime,pattern_variant,replicate,seed,true_archetype,p_value,Spatial_Score,Coverage,n_expr_cells,abstain_flag,time,schema_version
disk,2000,high,structured,wedge_core,0,5000,regional_program,,0.20472252615108477,0.7605,1521,False,0.0763540267944336,2.0
disk,2000,high,structured,wedge_core,1,5001,regional_program,,0.21400780744936956,0.741,1482,False,0.07583212852478027,2.0
disk,2000,high,structured,wedge_core,2,5002,regional_program,,0.20789776288801828,0.7765,1553,False,0.08572602272033691,2.0
disk,2000,high,structured,wedge_core,3,5003,regional_program,,0.19561277930851206,0.7615,1523,False,0.08464932441711426,2.0
disk,2000,high,structured,wedge_core,4,5004,regional_program,,0.19567161195135407,0.7715,1543,False,0.07596421241760254,2.0
disk,2000,high,structured,wedge_core,5,5005,regional_program,,0.20120398696583625,0.7705,1541,False,0.0782012939453125,2.0
disk,2000,high,structured,wedge_core,6,5006,regional_program,,0.22435554495122806,0.763,1526,False,0.07464718818664551,2.0
disk,2000,high,structured,wedge_core,7,5007,regional_program,,0.19743635127699563,0.73,1460,False,0.07545876502990723,2.0
disk,2000,high,structured,wedge_core,8,5008,regional_program,,0.20141765449526441,0.722,1444,False,0.07352185249328613,2.0
disk,2000,high,structured,wedge_core,9,5009,regional_program,,0.22665357781631287,0.7185,1437,False,0.07567882537841797,2.0
disk,2000,high,iid,wedge_core,0,5010,housekeeping,,0.07838383760752096,0.6835,1367,False,0.07908201217651367,2.0
disk,2000,high,iid,wedge_core,1,5011,housekeeping,,0.04820198542279463,0.784,1568,False,0.08116579055786133,2.0
disk,2000,high,iid,wedge_core,2,5012,housekeeping,,0.053875966096687995,0.756,1512,False,0.07712197303771973,2.0
disk,2000,high,iid,wedge_core,4,5014,housekeeping,,0.05672386166169786,0.6995,1399,False,0.07860708236694336,2.0
disk,2000,high,iid,wedge_core,3,5013,housekeeping,,0.04092405312415001,0.745,1490,False,0.0793757438659668,2.0
disk,2000,high,iid,wedge_core,5,5015,housekeeping,,0.05426287443259674,0.7055,1411,False,0.07755589485168457,2.0
disk,2000,high,iid,wedge_core,6,5016,housekeeping,,0.055948015481154426,0.7725,1545,False,0.07915019989013672,2.0
disk,2000,high,iid,wedge_core,7,5017,housekeeping,,0.07294369837875793,0.7755,1551,False,0.07726478576660156,2.0
disk,2000,high,iid,wedge_core,8,5018,housekeeping,,0.0670197524411293,0.7565,1513,False,0.07803821563720703,2.0
disk,2000,high,iid,wedge_core,9,5019,housekeeping,,0.05636445951151487,0.755,1510,False,0.08050680160522461,2.0
disk,2000,low,structured,wedge_core,0,5020,niche_marker,,0.13983303564584781,0.1495,299,False,0.08176898956298828,2.0
disk,2000,low,structured,wedge_core,1,5021,niche_marker,,0.14464845528654777,0.1405,281,False,0.07906413078308105,2.0
disk,2000,low,structured,wedge_core,2,5022,niche_marker,,0.12538561700824327,0.1515,303,False,0.08061408996582031,2.0
disk,2000,low,structured,wedge_core,3,5023,niche_marker,,0.12049487999603398,0.1185,237,False,0.08151412010192871,2.0
disk,2000,low,structured,wedge_core,4,5024,niche_marker,,0.10622089076155544,0.117,234,False,0.07982611656188965,2.0
disk,2000,low,structured,wedge_core,5,5025,niche_marker,,0.12927146168809367,0.0805,161,False,0.0822899341583252,2.0
disk,2000,low,structured,wedge_core,6,5026,niche_marker,,0.12459993263547042,0.162,324,False,0.07841897010803223,2.0
disk,2000,low,structured,wedge_core,7,5027,niche_marker,,0.10117125771763447,0.073,146,False,0.07993102073669434,2.0
disk,2000,low,structured,wedge_core,8,5028,niche_marker,,0.11847866035729931,0.0935,187,False,0.07818174362182617,2.0
disk,2000,low,structured,wedge_core,9,5029,niche_marker,,0.1301583034109736,0.076,152,False,0.07631897926330566,2.0
disk,2000,low,iid,wedge_core,0,5030,sparse_noise,,0.05651413917438915,0.1675,335,False,0.07830691337585449,2.0
disk,2000,low,iid,wedge_core,1,5031,sparse_noise,,0.043426196231554685,0.1635,327,False,0.07895922660827637,2.0
disk,2000,low,iid,wedge_core,2,5032,sparse_noise,,0.06305583227400971,0.1435,287,False,0.07806801795959473,2.0
disk,2000,low,iid,wedge_core,3,5033,sparse_noise,,0.07103123278813966,0.1315,263,False,0.07741189002990723,2.0
disk,2000,low,iid,wedge_core,4,5034,sparse_noise,,0.05046424073900482,0.1215,243,False,0.07893586158752441,2.0
disk,2000,low,iid,wedge_core,5,5035,sparse_noise,,0.06116092990430401,0.1005,201,False,0.07973194122314453,2.0
disk,2000,low,iid,wedge_core,6,5036,sparse_noise,,0.05988424730502153,0.077,154,False,0.07898879051208496,2.0
disk,2000,low,iid,wedge_core,7,5037,sparse_noise,,0.053544308958433304,0.113,226,False,0.07925677299499512,2.0
disk,2000,low,iid,wedge_core,8,5038,sparse_noise,,0.05546193123697831,0.1135,227,False,0.07877802848815918,2.0
disk,2000,low,iid,wedge_core,9,5039,sparse_noise,,0.06375605317643374,0.1055,211,False,0.07979512214660645,2.0
