shape,N,null_type,replicate,seed,benchmark,permutation_scheme,n_permutations,config_B,config_delta_deg,time,p_value,Spatial_Score,Coverage,coverage_bg,coverage_fg,abstain_flag,abstain_reason,schema_version
disk,1000,iid,1,43,calibration,global,100,72,60.0,1.2379601001739502,0.7821782178217822,0.06742148890859138,0.161,,1.0,False,ok,2.0
disk,1000,iid,0,42,calibration,global,100,72,60.0,1.2405049800872803,0.9306930693069307,0.06365940234185434,0.148,,0.9583333333333334,False,ok,2.0
disk,1000,iid,2,44,calibration,global,100,72,60.0,1.2356691360473633,0.504950495049505,0.07965910126440767,0.149,,1.0,False,ok,2.0
disk,1000,iid,3,45,calibration,global,100,72,60.0,1.2350258827209473,0.22772277227722773,0.08708073796792351,0.149,,0.9861111111111112,False,ok,2.0
disk,1000,iid,5,47,calibration,global,100,72,60.0,1.2436151504516602,0.5841584158415841,0.0755327621599691,0.168,,1.0,False,ok,2.0
disk,1000,iid,4,46,calibration,global,100,72,60.0,1.2437219619750977,0.25742574257425743,0.08763213588575307,0.157,,0.9722222222222222,False,ok,2.0
disk,1000,iid,6,48,calibration,global,100,72,60.0,1.232982873916626,0.9801980198019802,0.06388836290337851,0.171,,0.9861111111111112,False,ok,2.0
disk,1000,iid,7,49,calibration,global,100,72,60.0,1.2376182079315186,0.32673267326732675,0.08336944443559825,0.146,,0.9583333333333334,False,ok,2.0
disk,1000,iid,8,50,calibration,global,100,72,60.0,1.2444648742675781,0.8415841584158416,0.06994135299215047,0.138,,0.9166666666666666,False,ok,2.0
disk,1000,iid,9,51,calibration,global,100,72,60.0,1.2404289245605469,0.9504950495049505,0.06154033800259211,0.154,,1.0,False,ok,2.0
disk,1000,iid,10,52,calibration,global,100,72,60.0,1.2422409057617188,0.1485148514851485,0.09096100788911882,0.157,,1.0,False,ok,2.0
disk,1000,iid,11,53,calibration,global,100,72,60.0,1.2507243156433105,0.06930693069306931,0.09284037850297769,0.123,,1.0,False,ok,2.0
disk,1000,iid,12,54,calibration,global,100,72,60.0,1.2385520935058594,0.24752475247524752,0.09041973503561847,0.137,,1.0,False,ok,2.0
disk,1000,iid,13,55,calibration,global,100,72,60.0,1.2376821041107178,0.2079207920792079,0.0879286492225506,0.165,,0.9444444444444444,False,ok,2.0
disk,1000,iid,14,56,calibration,global,100,72,60.0,1.2319228649139404,0.8910891089108911,0.06385493567965804,0.146,,1.0,False,ok,2.0
disk,1000,iid,15,57,calibration,global,100,72,60.0,1.2356979846954346,0.3069306930693069,0.08456388631857119,0.155,,1.0,False,ok,2.0
disk,1000,iid,16,58,calibration,global,100,72,60.0,1.2512578964233398,0.7821782178217822,0.07063201371688516,0.153,,0.9305555555555556,False,ok,2.0
disk,1000,iid,17,59,calibration,global,100,72,60.0,1.248363971710205,0.2871287128712871,0.08731728637926114,0.135,,0.9861111111111112,False,ok,2.0
disk,1000,iid,18,60,calibration,global,100,72,60.0,1.230525016784668,0.5544554455445545,0.0766878386673998,0.156,,1.0,False,ok,2.0
disk,1000,iid,19,61,calibration,global,100,72,60.0,1.2396490573883057,0.801980198019802,0.06874770275771283,0.147,,0.9583333333333334,False,ok,2.0
disk,1000,iid,20,62,calibration,global,100,72,60.0,1.2316362857818604,0.8910891089108911,0.06825380184507818,0.15,,1.0,False,ok,2.0
disk,1000,iid,21,63,calibration,global,100,72,60.0,1.2326691150665283,0.25742574257425743,0.09206870194996879,0.149,,0.875,False,ok,2.0
disk,1000,iid,22,64,calibration,global,100,72,60.0,1.240077018737793,0.5247524752475248,0.07618240776399589,0.161,,1.0,False,ok,2.0
disk,1000,iid,23,65,calibration,global,100,72,60.0,1.2466280460357666,0.7425742574257426,0.07234217983446684,0.16,,1.0,False,ok,2.0
disk,1000,iid,24,66,calibration,global,100,72,60.0,1.2332799434661865,0.44554455445544555,0.08126446290233197,0.146,,1.0,False,ok,2.0
disk,1000,iid,25,67,calibration,global,100,72,60.0,1.2403359413146973,1.0,0.05490363570242684,0.168,,0.9861111111111112,False,ok,2.0
disk,1000,iid,26,68,calibration,global,100,72,60.0,1.2338087558746338,0.6633663366336634,0.0738831006937409,0.132,,1.0,False,ok,2.0
disk,1000,iid,27,69,calibration,global,100,72,60.0,1.2363982200622559,0.2376237623762376,0.09298720205111502,0.174,,1.0,False,ok,2.0
disk,1000,iid,28,70,calibration,global,100,72,60.0,1.246239185333252,0.25742574257425743,0.08977693527009606,0.178,,1.0,False,ok,2.0
disk,1000,iid,29,71,calibration,global,100,72,60.0,1.2487051486968994,0.7821782178217822,0.06999231532579737,0.161,,1.0,False,ok,2.0
disk,1000,iid,30,72,calibration,global,100,72,60.0,1.2317297458648682,0.6336633663366337,0.07457039590766978,0.154,,0.9166666666666666,False,ok,2.0
disk,1000,iid,31,73,calibration,global,100,72,60.0,1.2366080284118652,0.33663366336633666,0.08519329858194544,0.153,,1.0,False,ok,2.0
disk,1000,iid,32,74,calibration,global,100,72,60.0,1.244886875152588,0.009900990099009901,0.12024425902310157,0.138,,1.0,False,ok,2.0
disk,1000,iid,33,75,calibration,global,100,72,60.0,1.2490391731262207,0.1188118811881188,0.09415867582836357,0.141,,0.9027777777777778,False,ok,2.0
