gene,coverage,A1_abs,A2_abs
0610012G03Rik,0.17738589211618258,0.17790617844528067,0.1002034440621867
1110004F10Rik,0.17219917012448133,0.17238196535628925,0.0574651714572575
1110008F13Rik,0.1421161825726141,0.14299361459924365,0.10418703545374179
1700027J19Rik,0.16338174273858921,0.16365334106964732,0.044811169473140865
1810022K09Rik,0.2505186721991701,0.2505301593184348,0.036338164048275175
1810037I17Rik,0.1716804979253112,0.17183887034240714,0.04933282499113715
1810058I24Rik,0.3454356846473029,0.3439084691670337,0.08983106334506212
2010107E04Rik,0.5798755186721992,0.5790770864949152,0.0827330310953391
2010111I01Rik,0.10114107883817428,0.10079969867737314,0.13259844962833237
2210013O21Rik,0.18672199170124482,0.18775895140976945,0.10822708265592637
2310036O22Rik,0.15715767634854771,0.15723700487077466,0.018365642820452124
2410006H16Rik,0.3947095435684647,0.3957726013239685,0.0769926680426741
2410015M20Rik,0.2920124481327801,0.29228733664534373,0.11271251916431828
2610001J05Rik,0.12655601659751037,0.12639998597046784,0.035204718458249344
2700060E02Rik,0.2837136929460581,0.28362135908466796,0.027354529425645258
2810025M15Rik,0.10632780082987552,0.10743752136218794,0.3333314810670613
2810428I15Rik,0.13900414937759337,0.13906482432162964,0.0272342503640371
2900026A02Rik,0.10062240663900415,0.10201353478380862,0.3267377258229905
Aamp,0.14730290456431536,0.14768488324899526,0.04432936106667784
Abcg2,0.10632780082987552,0.1071450432907069,0.3743015121654002
Abracl,0.1654564315352697,0.16571407750021497,0.0694168957003906
Acaa2,0.258298755186722,0.2573763470007268,0.20640459115285023
Acadl,0.2437759336099585,0.2426396524125425,0.19787267058046057
Acadm,0.11670124481327801,0.11637809894579697,0.2645251126359005
Acadvl,0.1462655601659751,0.14583313862820482,0.29418103222926145
Aco2,0.15404564315352698,0.15420176391335194,0.27191918948552823
Acot13,0.14989626556016597,0.1496559113162497,0.34448048454433927
Acta2,0.5233402489626556,0.5220257691905874,0.168268682187277
Actb,0.7883817427385892,0.789013075044099,0.01505532965607272
Actc1,0.7551867219917012,0.7549363577547932,0.06531231143544261
Actg1,0.43775933609958506,0.43868249444479784,0.060821536384226355
Actn1,0.13848547717842324,0.13830861026746846,0.11119521255077304
Actn2,0.12344398340248963,0.12280684545378945,0.4041869607170296
Actn4,0.11670124481327801,0.11680284518933337,0.10418335584002832
Actr10,0.11566390041493776,0.11623832975089342,0.1246299569556002
Actr3,0.11410788381742738,0.11475996720082815,0.17420936288703484
Adamts1,0.2012448132780083,0.20319307880002266,0.2312968611810178
Adamts2,0.15093360995850622,0.14872288459116031,0.3470908789878038
Adgrf5,0.1400414937759336,0.14270018174340424,0.5242474876744936
Adh5,0.15767634854771784,0.1583277329952833,0.1459072289831683
Adipor1,0.16441908713692946,0.16499608090347792,0.09582525610824927
Adprh,0.17323651452282157,0.17360144614927858,0.04521347325089707
